,name,length,oneway,lanes,maxspeed
630,Middle Abbey Street,274.828,True,2,30
631,Military Road,608.016,False,2,30
632,Mill Lane,149.32,False,2,30
633,Mill Street,460.44000000000005,False,2,30
634,Moira Road,288.206,False,2,30
635,Molesworth Street,323.113,True,2,30
636,Monck Place,329.796,False,2,30
637,Montague Court,76.464,False,2,30
638,Montague Lane,197.67000000000002,False,2,30
639,Montague Street,144.64700000000002,True,2,30
640,Montpelier Court,16.432,False,3,50
641,Montpelier Gardens,772.818,False,2,30
642,Montpelier Hill,671.396,False,2,50
643,Montpelier Park,662.3079999999999,False,2,50
644,Montpellier Drive,341.078,False,1,30
645,Moore Street,124.41,False,,
646,Morning Star Avenue,474.688,False,,
647,Morning Star Road,671.432,False,,
648,Moss Street,85.497,True,,
649,Mount Brown,489.528,False,,
650,Mount Street Crescent,287.14500000000004,True,,
651,Mount Street Lower,875.7640000000001,False,,
652,Mount Street Upper,539.888,False,,
653,Mount Temple Road,408.16799999999995,False,1,30
654,Mountjoy Parade,171.37,False,,
655,Mountjoy Square East,457.72799999999995,False,1,30
656,Mountjoy Square North,316.752,False,,
657,Mountjoy Square South,315.49,False,,
658,Mountjoy Square West,297.21799999999996,False,,
